document,technique,safety,round,tokens,chars,ratio_to_original,ratio_to_previous,converged,converged_at_round
verbose_prose.md,lists_tables,True,0,145,693,0.9177215189873418,0.9177215189873418,True,1
verbose_prose.md,lists_tables,True,1,145,693,0.9177215189873418,1.0,True,1
verbose_prose.md,lists_tables,False,0,145,693,0.9177215189873418,0.9177215189873418,True,1
verbose_prose.md,lists_tables,False,1,145,693,0.9177215189873418,1.0,True,1
verbose_prose.md,hierarchical_structure,True,0,158,788,1.0,1.0,True,1
verbose_prose.md,hierarchical_structure,True,1,158,788,1.0,1.0,True,1
verbose_prose.md,hierarchical_structure,False,0,158,788,1.0,1.0,True,1
verbose_prose.md,hierarchical_structure,False,1,158,788,1.0,1.0,True,1
verbose_prose.md,remove_redundancy,True,0,158,786,1.0,1.0,True,1
verbose_prose.md,remove_redundancy,True,1,158,786,1.0,1.0,True,1
verbose_prose.md,remove_redundancy,False,0,158,786,1.0,1.0,True,1
verbose_prose.md,remove_redundancy,False,1,158,786,1.0,1.0,True,1
verbose_prose.md,technical_shorthand,True,0,160,772,1.0126582278481013,1.0126582278481013,True,1
verbose_prose.md,technical_shorthand,True,1,160,772,1.0126582278481013,1.0,True,1
verbose_prose.md,technical_shorthand,False,0,160,772,1.0126582278481013,1.0126582278481013,True,1
verbose_prose.md,technical_shorthand,False,1,160,772,1.0126582278481013,1.0,True,1
verbose_prose.md,information_density,True,0,148,740,0.9367088607594937,0.9367088607594937,True,1
verbose_prose.md,information_density,True,1,148,740,0.9367088607594937,1.0,True,1
verbose_prose.md,information_density,False,0,148,740,0.9367088607594937,0.9367088607594937,True,1
verbose_prose.md,information_density,False,1,148,740,0.9367088607594937,1.0,True,1
verbose_prose.md,all_combined,True,0,136,637,0.8607594936708861,0.8607594936708861,True,1
verbose_prose.md,all_combined,True,1,136,637,0.8607594936708861,1.0,True,1
verbose_prose.md,all_combined,False,0,136,637,0.8607594936708861,0.8607594936708861,True,1
verbose_prose.md,all_combined,False,1,136,637,0.8607594936708861,1.0,True,1
already_compressed.md,lists_tables,True,0,119,453,1.0,1.0,True,1
already_compressed.md,lists_tables,True,1,119,453,1.0,1.0,True,1
already_compressed.md,lists_tables,False,0,119,453,1.0,1.0,True,1
already_compressed.md,lists_tables,False,1,119,453,1.0,1.0,True,1
already_compressed.md,hierarchical_structure,True,0,119,453,1.0,1.0,True,1
already_compressed.md,hierarchical_structure,True,1,119,453,1.0,1.0,True,1
already_compressed.md,hierarchical_structure,False,0,119,453,1.0,1.0,True,1
already_compressed.md,hierarchical_structure,False,1,119,453,1.0,1.0,True,1
already_compressed.md,remove_redundancy,True,0,119,454,1.0,1.0,True,1
already_compressed.md,remove_redundancy,True,1,119,454,1.0,1.0,True,1
already_compressed.md,remove_redundancy,False,0,119,454,1.0,1.0,True,1
already_compressed.md,remove_redundancy,False,1,119,454,1.0,1.0,True,1
already_compressed.md,technical_shorthand,True,0,119,443,1.0,1.0,True,1
already_compressed.md,technical_shorthand,True,1,119,443,1.0,1.0,True,1
already_compressed.md,technical_shorthand,False,0,119,443,1.0,1.0,True,1
already_compressed.md,technical_shorthand,False,1,119,443,1.0,1.0,True,1
already_compressed.md,information_density,True,0,106,447,0.8907563025210085,0.8907563025210085,True,1
already_compressed.md,information_density,True,1,106,447,0.8907563025210085,1.0,True,1
already_compressed.md,information_density,False,0,106,447,0.8907563025210085,0.8907563025210085,True,1
already_compressed.md,information_density,False,1,106,447,0.8907563025210085,1.0,True,1
already_compressed.md,all_combined,True,0,119,453,1.0,1.0,True,1
already_compressed.md,all_combined,True,1,119,453,1.0,1.0,True,1
already_compressed.md,all_combined,False,0,106,438,0.8907563025210085,0.8907563025210085,True,1
already_compressed.md,all_combined,False,1,106,438,0.8907563025210085,1.0,True,1
mixed_state.md,lists_tables,True,0,230,1176,1.0,1.0,True,1
mixed_state.md,lists_tables,True,1,230,1176,1.0,1.0,True,1
mixed_state.md,lists_tables,False,0,230,1176,1.0,1.0,True,1
mixed_state.md,lists_tables,False,1,230,1176,1.0,1.0,True,1
mixed_state.md,hierarchical_structure,True,0,230,1176,1.0,1.0,True,1
